Object                                   Vmag   Distance_Mpc
PGC095477                             16.2100     1.4441e+02
PGC095502                             16.3100     2.7900e+02
PGC097491                             16.3450     2.5763e+02
PGC097492                             16.2450     2.5894e+02
PGC097563                             14.1000     1.3446e+02
PGC100632                             16.1000     3.4198e+02
PGC100638                             15.6100     2.6705e+02
PGC101169                             16.1000     1.5878e+02
PGC101171                             15.6000     8.4411e+01
PGC101172                             15.8000     1.7898e+02
PGC101173                             16.2000     4.6026e+02
PGC101174                             15.9000     1.7964e+02
PGC101175                             16.1000     4.1706e+02
PGC101176                             14.9000     1.0134e+02
PGC101177                             16.0000     1.7266e+02
PGC101178                             15.7000     3.8142e+01
PGC101179                             15.9000     1.8923e+02
PGC101181                             15.3000     2.1498e+02
PGC101183                             15.6000     2.2346e+02
PGC101187                             16.2000     1.7840e+02
PGC101188                             15.8000     2.2019e+02
PGC101191                             15.0000     1.3571e+02
PGC101192                             15.7000     1.1413e+02
PGC101193                             15.7000     7.2410e+01
PGC101194                             15.6000     1.2954e+02
PGC101198                             15.8000     2.2867e+02
PGC101199                             14.9000     7.5405e+01
PGC101200                             15.8000     1.3753e+02
PGC101201                             15.5000     1.3384e+02
PGC101202                             16.0000     3.4610e+02
PGC101203                             16.0000     2.1627e+02
PGC101204                             15.8000     4.1134e+02
PGC101206                             15.4000     1.3880e+02
PGC101207                             15.8000     2.3911e+02
PGC101208                             15.8000     2.3911e+02
PGC101209                             16.0000     1.3817e+02
PGC101210                             15.3000     7.2410e+01
PGC101190                             16.0000     2.0922e+02
PGC101196                             15.6000     1.3201e+02
PGC101214                             15.6000     2.9255e+02
PGC101216                             16.2000     1.7394e+02
PGC101217                             16.0000     2.6903e+02
PGC101219                             15.7000     2.9526e+02
PGC101221                             15.7000     1.3508e+02
PGC101222                             15.9000     1.6951e+02
PGC101225                             16.0000     2.7900e+02
PGC101226                             15.1100     2.7631e+02
PGC101227                             16.1000     3.1710e+02
PGC101228                             15.9000     3.1434e+02
PGC101234                             16.1000     3.1017e+02
PGC101220                             15.9000     1.3014e+02
PGC101218                             15.2000     7.5998e+01
PGC101243                             16.1000     3.2300e+01
PGC122203                             17.2500     2.7240e+02
PGC122206                             17.1900     2.6363e+02
PGC122213                             17.1400     2.7836e+02
PGC122214                             17.0800     2.7040e+02
PGC122326                             16.4600     3.0960e+02
PGC126458                             16.3000     8.6417e+02
PGC126529                             18.0400     4.3231e+02
PGC126579                             16.6000     6.2058e+02
PGC131645                             15.0300     2.3790e+02
PGC134346                             15.9000     2.7708e+02
PGC134446                             15.2000     2.4774e+02
PGC140974                             16.7200     4.6302e+02
PGC141691                             17.7200     2.6436e+02
PGC141686                             15.7500     2.4774e+02
PGC141696                             15.8100     2.6230e+02
PGC141704                             17.6100     3.4882e+02
PGC141697                             17.3800     2.6632e+02
PGC142647                             16.6900     1.8664e+02
PGC192307                             16.1800     2.6705e+02
PGC198513                             15.9900     3.3713e+02
PGC540310                             17.0300     3.0005e+02
PGC540899                             17.5500     2.8987e+02
PGC540905                             16.8200     2.6903e+02
PGC541152                             17.2400     2.7164e+02
PGC541321                             16.2700     2.7836e+02
PGC541451                             17.5800     2.9322e+02
PGC541631                             16.2300     2.6965e+02
PGC541662                             17.1200     2.8106e+02
PGC541789                             17.0900     2.7302e+02
PGC541867                             17.2400     6.4804e+02
PGC541883                             16.1400     2.7227e+02
PGC542022                             17.5000     2.7772e+02
PGC542140                             17.0700     4.7054e+02
PGC542546                             17.9000     2.6705e+02
PGC542562                             15.1900     2.8510e+02
PGC542637                             16.7900     2.9188e+02
PGC542655                             17.3900     4.0420e+02
PGC542701                             17.7000     7.2611e+02
PGC542891                             17.7400     2.6829e+02
PGC542975                             16.4000     2.5763e+02
PGC543145                             16.3800     2.9936e+02
PGC543179                             17.3600     2.7631e+02
PGC543197                             16.7400     2.7441e+02
PGC543601                             17.6200     6.7983e+02
PGC543747                             16.8100     4.9068e+02
PGC544469                             17.9900     2.7365e+02
PGC544535                             17.3900     2.6767e+02
PGC544734                             17.5400     4.0701e+02
PGC544948                             17.3000     6.9791e+02
PGC545267                             15.4500     2.7772e+02
PGC545584                             17.3000     6.7733e+02
PGC545633                             17.8300     2.7302e+02
PGC545706                             17.7300     6.8297e+02
PGC545913                             17.7500     2.8379e+02
PGC546294                             15.5100     2.7504e+02
PGC546506                             17.4200     2.7644e+02
PGC594384                             17.1800     2.1242e+02
PGC596567                             17.3100     4.4463e+02
PGC622139                             17.0000     1.8793e+02
PGC632601                             17.5700     2.1429e+02
PGC713902                             17.8800     2.5165e+02
PGC714245                             16.5500     2.5504e+02
PGC714741                             17.1600     2.4177e+02
PGC714907                             16.6300     2.6497e+02
PGC714981                             16.4100     2.3388e+02
PGC715092                             17.4500     2.5504e+02
PGC715403                             17.2200     2.3324e+02
PGC715519                             17.4500     2.4513e+02
PGC715630                             17.2600     2.7164e+02
PGC715778                             18.1000     2.4843e+02
PGC716230                             17.3800     2.2542e+02
PGC716726                             17.5600     2.7772e+02
PGC717339                             18.2200     2.5763e+02
PGC717410                             17.5500     1.1046e+02
PGC717554                             17.3000     2.7027e+02
PGC718097                             17.1900     2.5633e+02
PGC718538                             16.7300     2.5305e+02
PGC718751                             18.0000     7.6243e+02
PGC545084                             17.9400     7.0016e+02
PGC545478                             16.9700     6.7577e+02
NGC6924                               12.7920     8.7418e+01
NGC6998                               14.0580     1.7330e+02
ESO467-054                            13.4780     1.1781e+02
PGC085231                             15.0100     2.6571e+02
PGC087414                             15.0000     3.8726e+01
PGC095501                             16.7300     2.6632e+02
PGC101185                             16.0000     2.2213e+02
PGC122209                             17.3500     2.6829e+02
PGC135344                             16.4000     7.5998e+01
PGC141693                             15.4100     2.1568e+02
PGC542369                             17.4600     2.6767e+02
PGC543412                             17.0800     2.9121e+02
PGC543760                             18.3000     6.4062e+02
PGC543716                             17.5700     4.9136e+02
PGC544852                             17.7600     4.9295e+02
PGC712896                             16.4200     2.3922e+02
PGC717213                             16.8000     2.3453e+02
PGC2793880                            18.9900     7.0599e+02
PGC2800225                            16.7400     2.7365e+02
PGC2800220                            16.7400     3.0889e+02
PGC2830926                            19.2000     6.1944e+03
PGC2831046                            19.9700     4.5941e+03
PGC2831080                            17.9000     1.3753e+03
PGC3096649                            16.6800     2.9799e+02
PGC3222308                            18.5700     9.9495e+02
PGC3222314                            18.1000     2.3977e+02
2MASXJ21471606-4351464                17.4600     7.2111e+02
2MASXJ21482085-4407174                17.0100     2.7302e+02
WINGSJ214547.45-440311.8              17.9800     2.7708e+02
WINGSJ214732.42-435853.7              20.5100     2.6038e+02
WINGSJ214538.51-434934.2              18.0600     6.4476e+02
WINGSJ214727.50-434452.7              18.1000     7.0113e+02
NGC7163                               13.2320     3.9902e+01
